Airfoil 515 e332
  1.000000  0.000000
  0.996350  0.000330
  0.985860  0.001620
  0.969460  0.003960
  0.947619  0.006890
  0.920329  0.010200
  0.887809  0.014120
  0.850589  0.018800
  0.809288  0.024250
  0.764568  0.030440
  0.717137  0.037250
  0.667697  0.044500
  0.616966  0.051991
  0.565606  0.059451
  0.514285  0.066601
  0.463585  0.073141
  0.414054  0.078791
  0.366194  0.083261
  0.320413  0.086291
  0.267093  0.087601
  0.236392  0.086951
  0.198362  0.084311
  0.163112  0.079821
  0.130791  0.073711
  0.101581  0.066241
  0.075721  0.057691
  0.053401  0.048320
  0.034820  0.038430
  0.020110  0.028320
  0.009370  0.018340
  0.002630  0.008950
  0.000370  0.003170
  0.000020  0.000900
  0.000000  -0.000500
  0.000150  -0.001780
  0.000290  -0.002370
  0.000480  -0.002920
  0.000730  -0.003420
  0.001080  -0.003860
  0.001530  -0.004300
  0.002070  -0.004720
  0.003360  -0.005550
  0.004920  -0.006360
  0.007740  -0.007540
  0.011220  -0.008740
  0.026310  -0.012170
  0.047170  -0.015010
  0.073551  -0.017370
  0.105191  -0.019420
  0.141621  -0.021400
  0.182202  -0.023410
  0.226292  -0.025430
  0.273253  -0.027360
  0.322493  -0.029070
  0.373484  -0.030470
  0.425654  -0.031520
  0.478425  -0.032180
  0.531225  -0.032420
  0.583466  -0.032200
  0.634566  -0.031520
  0.683957  -0.030360
  0.731087  -0.028670
  0.775438  -0.026430
  0.816488  -0.023480
  0.854139  -0.019510
  0.888639  -0.014840
  0.919759  -0.010280
  0.946739  -0.006360
  0.968910  -0.003260
  0.985690  -0.001180
  0.996330  -0.000210
  1.000000  0.000000
